投诉编号,投诉品牌,投诉车系,投诉车型,问题简述,典型问题,投诉时间,投诉状态
571251,一汽-大众,高尔夫,2016款 1.6L  自动 舒适型,一汽大众高尔夫变速箱报故障码维修未解决,"B96,",2021-02-08,信息审核
571247,华晨宝马,宝马5系新能源,2020款 530Le 里程升级版 先锋版,华晨宝马5系新能源天窗异响反复维修未解决,"H89,J298,",2021-02-08,信息审核
571246,众泰汽车,大迈X7,2018款 2.0T 自动 尊贵型,众泰大迈X7永久免费保养承诺未兑现,"M279,",2021-02-08,信息审核
571243,奇瑞汽车,瑞虎8,2019款 1.6TGDI 自动 精英型,奇瑞瑞虎8出现水泵漏水存在质量问题,"A24,A191,A221,B33,J298,N317,",2021-02-08,信息审核
571242,一汽-大众奥迪,奥迪A3,2016款 Sportback 1.4T 双离合 风尚型,一汽大众奥迪A3变速箱机电控制单元故障,"B96,B115,",2021-02-08,信息审核
571238,东风日产,天籁,2021款 2.0L XL Upper AD1 智行领航版,东风日产天籁车载USB无法读取数据,"H134,H155,J301,",2021-02-08,信息审核
571236,东风标致,标致2008,2015款 1.6THP 自动 时尚版,东风标致2008凸轮轴齿轮磨损希望处理,"A129,",2021-02-08,信息审核
571235,一汽奔腾,奔腾B30,2017款 1.6L 手动 舒适型,一汽奔腾B30发动机机脚螺丝出现断裂,"A241,",2021-02-08,信息审核
571234,一汽马自达,睿翼,2010款 2.0L 豪华版,一汽马自达睿翼副驾驶气囊盖板开裂,"H176,",2021-02-08,信息审核
571229,广汽本田,雅阁,2018款 260TURBO 精英版 国VI,广汽本田雅阁高速行驶安全气囊故障灯亮,"H103,",2021-02-08,信息审核
571227,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版Pro,一汽大众探岳颗粒捕捉器堵塞导致油耗高,"A85,A114,",2021-02-08,信息审核
571226,SWM斯威汽车,SWM斯威X3,2017款 1.5T 风尚型,斯威X3排气管冒白烟并伴有异味存在质量缺陷,"A114,",2021-02-08,厂家受理
571222,华晨宝马,宝马5系,2021款 530Li 领先型 M运动套装,华晨宝马5系经销商低开发票不给备用钥匙,"I295,M315,O353,",2021-02-08,信息审核
571220,广汽乘用车,传祺GS4新能源,2017款 1.5L PHEV 尊享版,广汽传祺GS4新能源空调压缩机故障导致不制冷,"H101,",2021-02-08,信息审核
571219,一汽-大众奥迪,奥迪A4L,2018款 2.0T 时尚型 30周年年型,一汽大众奥迪A4L日行灯不亮 4S店不予保修,"H82,I297,",2021-02-08,信息审核
571216,领克,领克01,2021款 2.0TD 两驱 型Pro,领克01车辆停放一周电瓶没电要求解决,"H146,",2021-02-08,信息审核
571210,吉利汽车,帝豪GS,2020款 1.4T CVT 雅,吉利帝豪GS方向机异响 电子助力管柱故障,"D59,D265,J301,",2021-02-08,信息审核
